,columns,explain,use_or_not,
0,index,"ID 번호, 고유번호",not,
1,loan_amnt,"신청자가 신청한 대출 금액을 의미합니다. 만약 대출 심사 과정에서 대출 금액이 줄어들면, 이 값이 해당 금액으로 반영됩니다.",use,
2,funded_amnt,대출에 투자한 총금액,cal,
3,funded_amnt_inv,투자자들이 대출에 투자한 총금액,cal,
4,int_rate,Interest rate on the loan,cal,(이전 연구에서 사용x 확인) / 사용한 연구도 존재
5,installment,대출했을 경우 매월 상환해야 하는 금액,cal,사용한 연구 존재
6,annual_inc,등록 시 대출자가 제공한 자테 보고 연간소득,use,
7,dti,모기지 및 요청된 LC대출을 제외한 총 부체에 대한 차용인의 월별 부채 총액을 차용인의 자체 보고 월 소득으로 나누어 계산한 비율,use,
8,delinq_2yrs,지난 2년간 대출자의 신용 파일에서 연체된 30일 이상의 건수,use,
9,fico_range_low,"대출 발행 시점에 차용인의 Fico(신용점수)가 속하는 하한 범위 (min: 660, fair / max: 845, excellent)",use,(일단)
10,fico_range_high,"대출 발행 시점에 차용인의 Fico(신용점수)가 속하는 상한 범위 (min: 664, fair / max: 850, excellent)",use,(일단)
11,inq_last_6mths,최근 6개월간 조회(inquiry)건수(자동차 및 주택담보대출 조회 제외). inquiry는 돈을 빌리거나 할 때 이루어진다. hard inquiry는 신용등급에 영향을 주며 2년간 기록이 사라지지 않는다. soft inquiry는 스스로 credit report를 조회하는 것을 이른다.,use,
12,open_acc,The number of open credit lines in the borrower's credit file. (한도가 정해진 사전 협의 대출 계약의 수),use,(고민)
13,pub_rec,"derogatory public record(채무불이행, 연체, 파산 기록 등)의 수",use,
14,revol_bal,"Total credit revolving balance(회전신용으로 사용하고 갚아야 하는 돈, credit limit에 대한 비율로 주로 계산됨.)",not,
15,revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit. (총 신용 한도 중 현재까지 사용한 금액의 비율, 20~25%면 적절하다고 함. 높을수록 빌려주는 사람의 부담 증가)",use,
16,total_acc,"The total number of credit lines currently in the borrower's credit file (신용 계좌, 카드 등의 수. fico상 excellent인 그룹의 평균은 3이라고 함. 많을 수록 빌려주는 사람의 부담 증가)",no,(사용하려면 open이랑 역어서 퍼선트 사용하면 가능?)
